Name of the Place,Description,Image Url,Budget,Province,Type
Sigiriya,"Ancient rock fortress with frescoes and landscaped gardens",https://example.com/sigiriya.jpg,Medium,Central,Culture
Yala National Park,"Wildlife sanctuary famous for leopards and elephants",https://example.com/yala.jpg,Medium,Southern,Nature
Galle Fort,"16th-century Dutch fort and UNESCO World Heritage site",https://example.com/galle.jpg,Low,Southern,Culture
Pinnawala Elephant Orphanage,"Sanctuary for wild Asian elephants",https://example.com/pinnawala.jpg,Low,Sabaragamuwa,Nature
Adam's Peak,"Sacred mountain with stunning sunrise views",https://example.com/adams_peak.jpg,Low,Central,Adventure
Dambulla Cave Temple,"Ancient cave complex with Buddhist mural paintings",https://example.com/dambulla.jpg,Low,Central,Culture
Mirissa,"Coastal town known for whale watching and beaches",https://example.com/mirissa.jpg,Medium,Southern,Nature
Kandy,"Cultural capital with the Temple of the Tooth Relic",https://example.com/kandy.jpg,Medium,Central,Culture
Horton Plains National Park,"Scenic grasslands and cloud forests with World's End viewpoint",https://example.com/horton_plains.jpg,Medium,Central,Nature
Arugam Bay,"Popular surfing destination on the east coast",https://example.com/arugam_bay.jpg,Medium,Eastern,Adventure
Polonnaruwa,"Ancient city with well-preserved ruins",https://example.com/polonnaruwa.jpg,Low,North Central,Culture
Udawalawe National Park,"Known for its large elephant population",https://example.com/udawalawe.jpg,Medium,Uva,Nature
Nine Arch Bridge,"Iconic railway bridge surrounded by tea plantations",https://example.com/nine_arch.jpg,Low,Uva,Culture
Pidurangala Rock,"Less crowded alternative to Sigiriya with panoramic views",https://example.com/pidurangala.jpg,Low,Central,Adventure
Nuwara Eliya,"Hill station known as 'Little England' with tea plantations",https://example.com/nuwara_eliya.jpg,High,Central,Nature
Anuradhapura,"Ancient capital with well-preserved ruins and stupas",https://example.com/anuradhapura.jpg,Medium,North Central,Culture
Ella,"Small town famous for hiking and scenic train rides",https://example.com/ella.jpg,Low,Uva,Nature
Jaffna,"Northern city with unique culture and Dutch colonial architecture",https://example.com/jaffna.jpg,Medium,Northern,Culture
Wilpattu National Park,"Largest national park known for leopards and sloth bears",https://example.com/wilpattu.jpg,Medium,North Western,Nature
Bentota,"Coastal town famous for water sports and ayurvedic spas",https://example.com/bentota.jpg,High,Southern,Adventure
Trincomalee,"Port city with beautiful beaches and colonial architecture",https://example.com/trincomalee.jpg,Medium,Eastern,Culture
Sinharaja Forest Reserve,"UNESCO World Heritage rainforest with high biodiversity",https://example.com/sinharaja.jpg,Low,Sabaragamuwa,Nature
Negombo,"Coastal town with a strong fishing heritage and beach resorts",https://example.com/negombo.jpg,Medium,Western,Culture
Kitulgala,"Adventure sports hub known for white water rafting",https://example.com/kitulgala.jpg,Medium,Sabaragamuwa,Adventure
Mihintale,"Ancient Buddhist pilgrimage site with panoramic views",https://example.com/mihintale.jpg,Low,North Central,Culture
Knuckles Mountain Range,"Rugged mountain range ideal for hiking and biodiversity",https://example.com/knuckles.jpg,Medium,Central,Nature
Colombo,"Capital city with modern amenities and colonial architecture",https://example.com/colombo.jpg,High,Western,Culture
Hikkaduwa,"Popular beach town known for surfing and coral reefs",https://example.com/hikkaduwa.jpg,Medium,Southern,Nature
Ritigala,"Ancient Buddhist monastery hidden in a nature reserve",https://example.com/ritigala.jpg,Low,North Central,Culture
Minneriya National Park,"Famous for 'The Gathering' of hundreds of elephants",https://example.com/minneriya.jpg,Medium,North Central,Nature
Mulkirigala Rock Temple,"Ancient Buddhist cave temple complex with panoramic views",https://example.com/mulkirigala.jpg,Low,Southern,Culture
Kalpitiya,"Coastal area known for kitesurfing and dolphin watching",https://example.com/kalpitiya.jpg,Medium,North Western,Adventure
Wasgamuwa National Park,"Less crowded park with elephants and ancient ruins",https://example.com/wasgamuwa.jpg,Medium,Central,Nature
Batticaloa,"Eastern coastal city with lagoons and colonial architecture",https://example.com/batticaloa.jpg,Low,Eastern,Culture
Kanneliya Rainforest,"Biodiversity hotspot with hiking trails and waterfalls",https://example.com/kanneliya.jpg,Low,Southern,Nature
Kumana National Park,"Bird sanctuary and wildlife haven adjacent to Yala",https://example.com/kumana.jpg,Medium,Eastern,Nature
Yapahuwa,"13th-century fortress with impressive stone staircase",https://example.com/yapahuwa.jpg,Low,North Western,Culture
